CollisionRate,Reachability,Usefulness,meanDelay,meanTxAirUtil,nrCollisions,nrSensed,nrReceived,usefulPackets,MODEM,MODEL,NR_NODES,INTERFERENCE_LEVEL,COLLISION_DUE_TO_INTERFERENCE,XSIZE,YSIZE,MINDIST,SIMTIME,PERIOD,PACKETLENGTH,nrMessages
10.089020771513352,100.0,34.32343234323432,5295.428563642901,5872.298666666666,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
5.371900826446281,95.83333333333334,40.174672489082965,7895.166184869119,7021.226666666666,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
7.765151515151516,100.0,30.22222222222222,6601.551193140783,9319.082666666665,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
2.5,91.66666666666666,38.46153846153847,3931.172182274235,6893.567999999999,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
6.511627906976744,94.85294117647058,42.15686274509804,5066.974862026995,8808.447999999999,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
3.7593984962406015,100.0,34.46153846153846,7086.493281673864,8936.106666666667,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
5.139186295503212,93.75,32.34501347708895,8313.563838060798,6893.567999999999,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
1.5317286652078774,93.05555555555556,32.5242718446602,7367.030452944935,9319.082666666665,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
8.875739644970414,100.0,37.03703703703704,10331.311584120194,9191.423999999999,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
7.41444866920152,97.91666666666666,28.952772073921974,7091.473034007444,10595.669333333331,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
16.289592760180994,100.0,34.355828220858896,7483.1656449733055,7914.837333333333,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
9.090909090909092,98.21428571428571,33.0,6541.56336782505,13148.842666666666,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
5.103668261562999,99.3421052631579,29.320388349514566,13147.114778807598,10212.693333333333,0,376,316,88,9,5,9,0.05,False,3000,3000,10,200000,100000,40,11
