CollisionRate,Reachability,Usefulness,meanDelay,meanTxAirUtil,nrCollisions,nrSensed,nrReceived,usefulPackets,MODEM,MODEL,NR_NODES,INTERFERENCE_LEVEL,COLLISION_DUE_TO_INTERFERENCE,XSIZE,YSIZE,MINDIST,SIMTIME,PERIOD,PACKETLENGTH,nrMessages
4.471016376397192,75.98684210526315,30.025996533795496,31976.65726426458,6939.525120000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
4.023398487658724,70.42682926829268,32.23255813953488,22382.25855462681,7307.182079999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.113636363636364,76.04166666666666,33.04828973843058,23442.09118788746,6663.7824,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
8.158946625911122,76.69753086419753,25.24123920771966,24493.865198091444,6296.12544,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.1468122936245875,82.61904761904762,32.0554272517321,41323.95309244727,7399.09632,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.094808126410835,73.80952380952381,31.81118522319138,36635.99562521428,7536.967680000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
4.135338345864661,83.59375,27.2843178920527,33544.1385709246,6663.7824,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.715841045182363,74.88095238095238,29.599999999999998,29860.37492048101,6617.825279999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
2.2304403097191723,71.03174603174604,30.65068493150685,38852.18177427756,6755.696639999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
2.908626560726447,67.32954545454545,31.869116987897804,23547.879358789534,6388.039679999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.220452848967405,74.89583333333333,31.898846495119788,36929.561210776534,8226.32448,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
4.633529907329402,77.77777777777779,30.511316010058675,41084.76858807121,7536.967679999997,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.310862484067413,63.31300813008131,30.16949152542373,35762.51971408948,7399.096319999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
2.2676628653820945,78.94736842105263,28.76548142229325,34191.82748164047,6801.65376,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
2.3590333716916,71.36752136752136,30.712643678160916,36610.35430616627,6388.039679999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.13405590416429,70.83333333333334,30.15006821282401,37444.733180841875,8410.152960000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.973429227849366,72.8125,29.961423060437202,36647.1235907698,8134.410239999997,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
4.653270886840913,68.02083333333333,31.591678761490083,33774.87267671878,7582.9248,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.360370799536501,71.9298245614035,27.609427609427613,34071.366605536015,6755.696639999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.2379114399056506,73.31349206349206,29.302141157811263,38596.94498795368,7077.3964799999985,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.025970058050718,86.06770833333334,30.630213160333643,29911.148778677085,6893.567999999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.915608796710173,76.66666666666667,30.44917257683215,32246.333622098555,6709.739519999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.8959524087250665,75.5813953488372,32.80067283431455,36987.226074840386,7399.096319999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.381461675579322,83.60215053763442,28.132066938037088,20658.8399366676,6204.211199999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.254091300602928,76.10294117647058,29.656160458452725,38990.41553227071,7261.22496,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.389809699201964,70.61965811965813,29.667863554757627,43860.138538796986,7077.39648,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.260009495173287,70.3125,33.71628371628372,31900.344839529396,7307.18208,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.5384998754049337,76.09649122807018,30.14769765421373,45703.82751738734,6939.525120000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.108059269967474,72.11538461538461,32.03607024205031,41954.97792740503,7215.267839999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
10.641058915131067,83.83333333333334,25.40404040404041,18774.181735060673,5514.854399999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
9.303458353628837,80.078125,29.63855421686747,37234.691288719994,7399.09632,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.9848422777550185,85.55555555555556,29.291488349976223,26561.77794841985,7123.353599999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.881668946648427,79.72972972972973,33.602278120550544,37226.05222009676,8042.495999999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.833770319874148,77.31481481481481,30.158013544018058,42722.50332574672,7491.010560000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
4.71044901384809,74.8931623931624,29.196168263223655,49015.66987931653,7491.010559999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
7.697201017811704,74.78070175438597,30.693069306930692,37615.140062014936,8042.496000000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
7.185541466258563,76.57657657657657,30.235660293463763,44689.84544952449,7904.624639999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.9571376679985475,73.35526315789474,28.52878464818763,34339.26450529977,7445.053439999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
2.138974237768849,74.25213675213675,29.943989659629473,24716.014872623164,6250.168320000002,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.585292064230859,77.35042735042735,31.220353600689954,32282.31820510813,7582.924799999997,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.8421599169262723,78.55392156862744,31.560807483998033,29681.452546591885,6847.610879999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.281777923568968,77.31481481481481,30.8830328247804,29704.338138323168,6433.996799999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.4949723835150825,68.85964912280701,29.332087809434842,34634.6792331043,6893.568000000002,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.493574353904815,78.04054054054053,31.74530462666056,34052.84764697655,6847.61088,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
7.760679225258689,72.97008547008546,30.655296229802513,31814.339924148855,8134.410240000002,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
3.7412537483935457,67.08333333333333,27.195945945945947,45102.53512700787,7261.2249600000005,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
6.083926237839408,74.14529914529915,30.25283347863993,32474.346613773272,8272.281599999998,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
10.06629448709002,76.78571428571429,28.820375335120644,20643.081645350867,7491.010559999999,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
1.8593160837342348,73.61111111111111,30.994152046783626,21578.06283218713,5974.4256000000005,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
5.600981193785773,81.30952380952381,28.04928131416838,30362.23657298924,7307.182080000001,361,8292,2406,750,25,5,25,0.05,False,3000,3000,10,200000,100000,40,45
